Name,Type,Primary_fuel,Secondary_fuel,Prime_mover_1,Prime_mover_2,Cogeneration,Capacity_MW,Largest_unit_MW,Primary_efficiency,Generating_units_number,Generating_units_notes,Year_built,Status,Cooling_type,Cooling_source,Group_name,Group_order,Owner_1,Owner_2,Operator,Connection_type,Avg_Ann_Gen_GWh,Hydro_max_storage_m3,Basin,Regional_auth,Region_name,Island_name,Node_name,GIP substation,Lifetime,Lifetime_notes,lat,long,Node,Techs
Tararua Stage 1,Wind,Wind,,,,,31.7,0.66,,48,48 x 0.66 MW,1999,,,,,,Mercury,,Mercury,Embedded,128,,,,CEN - Central,NI ,LTN0331,LTN,,,-40.3574,175.7498,CEN,
Hau Nui,Wind,Wind,,,,,8.45,0.6,,15,15 x 0.6 MW,1996,,,,,,Genesis Energy,,Genesis Energy,Embedded,22,,,,WEL - Wellington,NI ,GYT0331,GYT,,,-41.3843,175.4685,WEL,
Mount Stuart,Wind,Wind,,,,,7.65,0.85,,,,2011,,,,,,Pioneer Generation,,Pioneer Generation,Embedded,25.6,,,,OTG - Otago/Southland,SI ,BAL0331,BAL,,,-46.1057,170.004,OTG,
Flat Hill,Wind,Wind,,,,,6.8,0.85,,8,8 x 0.85 MW,2015,,,,,,Pioneer Generation,,Trustpower,Embedded,24,,,,OTG - Otago/Southland,SI ,INV0331,INV,,,-46.6068,168.3369,OTG,
Horseshoe Bend Wind,Wind,Wind,,,,,2.25,0.75,,3,3 x 0.75 MW,2009,,,,,,Pioneer Generation,,Pioneer Generation,Embedded,8,, ,,OTG - Otago/Southland,SI ,CYD0331,CYD,,,-45.5427,169.2987,OTG,
Lulworth Wind,Wind,Wind,,,,,1,0.25,,4,4 x 0.25 MW,2011,,,,,,Energy3,,Meridian Energy,Embedded,3.2,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,-41.8453,174.1639,NEL,
Weld Cone Wind,Wind,Wind,,,,,0.75,0.25,,3,3 x 0.25 MW,2010,,,,,,Energy3,,Meridian Energy,Embedded,3,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,-41.8454,174.1629,NEL,
Lake Grassmere,Wind,Wind,,,,,0.66,0.66,,1,1 x 0.66 MW,2014,,,,,,Energy3,,Meridian Energy,Embedded,6,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,-41.7284,174.1509,NEL,
Christchurch Wind Turbine,Wind,Wind,,,,,0.5,0.5,,1,,2003,,,,,,Orion,,Meridian Energy,Embedded,0.8,,,,CAN - Canterbury,SI ,SPN0331,SPN,,,-43.6977,172.6418,CAN,
Chathams Wind,Wind,Wind,,,,,0.45,0.225,,2,2 x 0.225 MW,2010,,,,,,CBD Energy,,CBDEnergy,Embedded,1.4,, ,,OTH - Other,OT ,OFFGRID,OFFGRID,,,-44.0341,-176.3949,OTG,
Wellington Wind Turbine,Wind,Wind,,,,,0.2,0.2,,1,,1993,,,,,,Meridian Energy,,Meridian Energy,Embedded,0.8,,,,WEL - Wellington,NI ,CPK0331,CPK,,,-41.3109,174.7449,WEL,
Southbridge Wind,Wind,Wind,,,,,0.1,0.1,,1,1 x 0.1 MW,2005,,,,,,Energy3,,Meridian Energy,Embedded,0.4,,,,CAN - Canterbury,SI ,SPN0331,SPN,,,-43.8726,172.277,CAN,
Kinleith,Thermal,Wood,Natural gas,steam turbine,,Y,40,28,0,2,,1998,Operational,,,,,Oji Fibre Solutions,,Carter Holt Energy,Grid,250,,,,WTO - Waikato,NI ,KIN0112,KIN,2048,,-38.226,175.8663,WTO,BIO
Kawerau - CHH,Thermal,Wood waste,,,,Y,27,27,0,,,,,,,,,Carter Holt Harvey,,Carter Holt Harvey,Embedded,118,,,,BOP - Bay Of Plenty,NI ,KAW0111,KAW,,,-38.0695,176.7206,BOP,BIO
Pan Pac,Thermal,Wood waste,,,,Y,12.8,12.8,,,,2005,,,,,,Pan Pac Forest Products,,Pan Pac Forest Products,Embedded,48,,,,HBY - Hawkes Bay,NI ,WHI0111,WHI,,,-39.3781,176.8917,HBY,BIO
Fletcher Forests,Thermal,Wood waste,,,,N,3.5,3.5,0,,,,,,,,,Trustpower,,Trustpower,Embedded,26,,,,BOP - Bay Of Plenty,NI ,ROT0111,ROT,,,-38.1799,176.2612,BOP,BIO
Blue Mountain Lumber,Thermal,Wood waste,,,,Y,1.4,1.4,0,,,2000,,,,,,Blue Mountain Lumber,,Meridian Energy,Embedded,1.9,,,,OTG - Otago/Southland,SI ,GOR0331,GOR,,,-45.4648,167.853,OTG,BIO
