Ea_gen_code,Name,Type,Primary_fuel,Secondary_fuel,Prime_mover_1,Prime_mover_2,Cogeneration,Capacity_MW,Capacity_change_MW,Largest_unit_MW,Primary_efficiency,Generating_units_number,Generating_units_notes,Year,Status,Cooling_type,Cooling_source,Group_name,Group_order,Owner_1,Owner_2,Operator,Connection_type,Avg_Ann_Gen_GWh,Hydro_max_storage_m3,Basin,Regional_auth,Region_name,Island_name,Node_name,GIP substation,Lifetime,Lifetime_notes,Comments,Data_source,lat,long
kaimai,Lloyd Mandeno (Kaimai),Hydroelectric,Water,,hydrokinetic turbine,,N,16,,8,,2,2 x 8 MW,1972,Operational,,,Kaimai Hydro Power Scheme,1,Trustpower,,Trustpower,Embedded,70,0,Wairoa river,Bay of Plenty,BOP - Bay of Plenty,NI,TGA0331,TGA,2026,consent expiry,"Lloyd Mandeno is the most up-stream station in the Kaimai scheme. A lake has been formed by building a 29m earth dam across the Mangaonui valley, this creates the main ponding reservoir for the station. The Lake has a surface area of 8.1ha and an operating range of 3m. There are 9 km of diversion tunnels in this part of the scheme. Water flows from the lake into the canal through a feed tunnel that is regulated to maintain a constant water level in the canal and constant head on the machines. In the power station there are two sets of turbines and generators, each producing 7,800kW at 11,000 volts. Operating speed is 750rpm and each set uses 6.1 cubic metres per second at full load.",MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-37.8426,176.05061
,Lower Mangapapa (Kaimai),Hydroelectric,Water,,hydrokinetic turbine,,N,5.6,,3,,2,2 x 3 MW,1979,Operational,,,Kaimai Hydro Power Scheme,2,Trustpower,,Trustpower,Embedded,17,0,Wairoa river,Bay of Plenty,BOP - Bay of Plenty,NI,TGA0331,TGA,2026,consent expiry,"The Lower Mangapapa Power Station is situated on the right bank of the Mangapapa River 4km further downstream from Lloyd Mandeno. The station was constructed after the summer of 1976 and was completed in the April of 1979. This section has a concrete arch dam built across a narrow gorge in the Mangapapa River. The dam is 26m high forming a lake that extends upstream to the Lloyd Mandeno station. Water is taken from the lake through a 3m diametre concrete lined tunnel 400 m in length. A steel tunnel outlet into the station divides to supply two horizontal turbines which drive a centrally located 6,000 kW induction generator. The combined output of the turbines is 6250kW at 32.8m head. The unit has an operating speed of 375rpm and a water consumption of 21.5 cubic metres per second. The average energy produced is 16.7 GWh per year.",MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-37.82454,176.0402
,Lulworth Wind,Wind,Wind,,,,,1,,0.25,,4,4 x 0.25 MW,2011,Operational,,,,,Energy3,,Meridian Energy,Embedded,3.2,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,"Energy3 installed four secondhand Micon 530 wind turbines at the site. The turbines have a capacity of 250kW each, giving the wind farm a capacity of 1 MW.
",EA exisiting generating plants (2015),-41.84526,174.16393
,Mahinerangi,Wind,Wind,,,,,36,,3,,12,12 x 3 MW,2011,Operational,,,,,Mercury,,Mercury,Embedded,112,,,,OTG - Otago/Southland,SI ,HWB0331,HWB,,,Mahinerangi is currently metered as part of Waipori local output.,EA exisiting generating plants (2015),-45.87876,170.5028
manapouri,Manapouri,Hydroelectric,Water,,hydrokinetic turbine,,N,800,,122,,7,7 x 122 MW,1971,Operational,,,,,Meridian Energy,,Meridian Energy,Grid,5100,382,Manapouri,Environment Southland,OTG - Otago/Southland,SI,MAN2201,MAN,2031,consent expiry,"The power station is located underground within Fiordland National Park. The turbines, generators and other equipment are contained in the powerhouse located in an underground cavern. The cavern was cut from solid rock and is 111 metres long, 18 metres wide and 39 metres high. Vehicles can drive down to the powerhouse through an access tunnel which is more than two kilometres long. It descends at a 1-in-10 gradient, and is wide enough to allow vehicles to pass. The powerhouse can also be reached by an elevator which descends 220 metres (equivalent to a 70-storey building) in two-and-a-half minutes. Uses 178 metre height difference between Lake Manapouri and the sea at Deep Cove. Once water has passed through turbines it leaves the station through two 10 kilometre-long tunnels to Deep Cove. The station was originally built with only one tailrace tunnel, but a second tunnel was commissioned in 2002. Reconditioning of the plant and the new tail race have resulted in an increase in maximum output, although actual output is constrained by resource management requirements.","MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015), https://www.wsp.com/en-nz/projects/manapouri-hydropower",-45.52112,167.27737
mangahao,Mangahao (inc mini),Hydroelectric,Water,,hydrokinetic turbine,,N,39,,26,,4,"3 x 4.8 MW, 1 x 26 MW",1924,Operational,,,,,King Country Energy,,King Country Energy,Grid,136,5,Mangahao,Horizons,CEN - Central,NI,MHO0331,MHO,2027,consent expiry,"The water stored in the reservoirs formed by the two dams on the Mangahao river is brought by a 1.6km long tunnel to the third reservoir on the Tokomaru stream and then to the surge chamber by a 2.1km tunnel. The headwaters of the Mangahao River are a major tributary of the Manawatu River. The total catchment area of the scheme is 86 square kilometers in an area of high annual rainfall, which on average exceeds 3,700 millimeters. Location: East road, Shannon. Average Annual Output: 126 GWh, Total MW rating : 38 MW, Head 271 meters. Turbines Francis Type: 26 MW at 7250 rpm, Pelton-wheel Type:2 at 6 MW at 375 rpm Generators 1 machine of 28.9 MW at 11,000 volts, 2 machines of 6 MW at 11,000 volts. An addition mini hydro station added 4 MW in 2004. Mini Hydro Stats: Average Annual Output: 10 GWh, Total MW rating : 4 MW. King Country Energy, in conjunction with Todd Energy, acquired this generation plant in 1997. (50/50 joint venture). (As at 20/5/2012 ownership of this plant was to be fully transferred to KCE subject to regulatory and shareholder approval) ","MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015), https://www.engineeringnz.org/programmes/heritage/heritage-records/mangahao-power-station/ for gen. units cap. (accessed 26/06/23)",-40.57673,175.45043
,Mangahewa,Thermal,Natural gas,,reciprocating engine,,,9,,9,0,1,1 x 9 MW,2008,Operational,,,,,Nova Energy,,Todd Energy,Embedded,50,,,,TRN - Taranaki,NI ,HUI0331,SFD,2038,,Todd Energy McKee Mangahewa ,MBIE thermal stack update (2020); EA exisiting generating plants (2015),-39.08803255,174.3353829
,Mangapehi,Hydroelectric,Water,,hydrokinetic turbine,,N,1.6,,0.8,,2,2 x 0.8 MW,2008,,,,,,Clearwater Hydro,,Mercury,Embedded,5,,,,WTO - Waikato,NI,HTI0331,HTI,,,,EA exisiting generating plants (2015),-38.4786839,175.2333224
,Mangatangi Dam,Hydroelectric,Water,,hydrokinetic turbine,,N,0.6,,0.6,,1,1 x 0.6 MW,,,,,,,Watercare Services,,Mercury,Partially embedded,5,,,,AKL - Auckland,NI,BOB0331,BOB,,,"At Mangatangi, power from the generator is used to run compressors that pump air into the dam water. Air is pumped into the dam water to reduce the risk of algae growing in the dam. At Waitakere, the generator powers the treatment plant. Location estimated.",EA exisiting generating plants (2015),-37.18817547,175.2195891
,Mangatawhiri,Hydroelectric,Water,,hydrokinetic turbine,,N,0.2,,0.2,,1,1 x 0.2 MW,,,,,,,Counties Power,,Mercury,Embedded,0.3,,,,AKL - Auckland,NI,BOB0331,BOB,,,GWh and MW data from Centralised Dataset 2006 calendar year. Location estimated (Mangatawhiri town),EA exisiting generating plants (2015),-37.21947492,175.1150136
,Mangorei,Hydroelectric,Water,,hydrokinetic turbine,,N,4.5,,1.3,,4,,1906,Operational,,,,,Trustpower,,Trustpower,Embedded,21,,,,TRN - Taranaki,NI,CST0331,CST,,,"Originally constructed in 1904 to use water from the Waiwakaiho River, the Mangorei Power Station first supplied power in 1906 - for street lighting in New Plymouth and 41 customers. A steady increase in demand for electricity resulted in plans to store water for generation purposes behind a dam across the Mangamahoe Stream, with work finally starting in 1930. Said at the time of it's completion in 1931 to be the highest earth dam in Australiasia, the 25 metre high dam supplies water via two tunnels to one 600kW and three 1300kW horizontal turbines. With a total capacity of 4,500 kW, the Mangorei power scheme has an average annual output of 20.9 GWh.",EA exisiting generating plants (2015),-39.11953,174.12696
,Mansons Developments,Thermal,Unknown,,,,N,0,,0.002,0,,,,,,,,,Mercury,,Mercury,Embedded,0,,,,AKL - Auckland,NI ,PEN1101,PEN,,,GWh and MW data from Centralised Dataset 2006 calendar year. Location estimated,EA exisiting generating plants (2015),-36.85288113,174.7821418
,Maraetai Embedded,Hydroelectric,Water,,hydrokinetic turbine,,N,0.1,,0.1,,1,1 x 0.1 MW,,,,,,,Mercury,,Mercury,Embedded,0,,,,WTO - Waikato,NI,WKM2201,WKM,,,GWh and MW data from Centralised Dataset 2006 calendar year. Location estimated (Maraetai suburb),EA exisiting generating plants (2015),-36.88025987,175.0340729
maraetai,Maraetai I,Hydroelectric,Water,,hydrokinetic turbine,,N,176,,36,0.498,5,5 x 36 MW,1952,Operational,,,Waikato Hydro Scheme,5,Mercury,,Mercury,Grid,442.5,0,Waikato,Waikato,WTO - Waikato,NI,MTI2201,WKM,2041,consent expiry,The two power stations ( A + B) have the largest capacity of any of the stations of the Waikato hydro system. The generating units in the Maraetai B have sophisticated frequency control and time - error corrections equipment allowing this powerhouse to be used for frequency keeping - they respond to the ebb and flow of power on the national grid in order to maintain a constant current and voltage.,MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-38.35172,175.74097
maraetai,Maraetai II,Hydroelectric,Water,,hydrokinetic turbine,,N,176,,36,0.498,5,5 x 36 MW,1970,Operational,,,Waikato Hydro Scheme,5,Mercury,,Mercury,Grid,442.5,0,Waikato,Waikato,WTO - Waikato,NI,MTI2201,WKM,2041,consent expiry,The two power stations ( A + B) have the largest capacity of any of the stations of the Waikato hydro system. The generating units in the Maraetai B have sophisticated frequency control and time - error corrections equipment allowing this powerhouse to be used for frequency keeping - they respond to the ebb and flow of power on the national grid in order to maintain a constant current and voltage.,MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-38.35172,175.74097
,Marlborough Lines Diesel,Thermal,Diesel,,,,N,9,,9,0,,,2006,Decomissioned,,,,,Marlborough Lines,,Trustpower,Embedded,0,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,"Primarily backup/peak management plant with peak of 9 MW from CDS. Discountinued from June 2006 so assumed Gwh = 0. Marlborough Lines have indicated that they expect to purchase 1 MW of portable generation in the 2006/2007 year (2006 Annual Repor",EA exisiting generating plants (2015),,
,Marlborough Lines Diesel,Thermal,Diesel,,,,N,9,,9,0,,,,Installed,,,,,Marlborough Lines,,Trustpower,Embedded,0,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,"Primarily backup/peak management plant with peak of 9 MW from CDS. Discountinued from June 2006 so assumed Gwh = 0. Marlborough Lines have indicated that they expect to purchase 1 MW of portable generation in the 2006/2007 year (2006 Annual Repor",EA exisiting generating plants (2015),-41.5134,173.96126
,Marlborough Lines Diesel II,Thermal,Diesel,,,,N,0,,0,0,,,2007,Decomissioned,,,,,Marlborough Lines,,Trustpower,Embedded,0,,,,NEL - Nelson/Marlbourough,SI ,BLN0332,BLN,,,Reconciliation Manager generation end date 31/08/2007,EA exisiting generating plants (2015),,
,Marlborough Lines Diesel II,Thermal,Diesel,,,,N,0,,0,0,,,,Installed,,,,,Marlborough Lines,,Trustpower,Embedded,0,,,,NEL - Nelson/Marlbourough,SI ,BLN0332,BLN,,,Reconciliation Manager generation end date 31/08/2007,EA exisiting generating plants (2015),,
,Marokopa Power Station,Hydroelectric,Water,,hydrokinetic turbine,,N,0.1,,0.1,,1,1 x 0.1 MW,,,,,,,Marakopa Generation,,Contact,Embedded,0.6,,,,WTO - Waikato,NI,HTI0331,HTI,,,GWh and MW data from Centralised Dataset 2006 calendar year. Location estimated. ,EA exisiting generating plants (2015),-38.26667081,174.8460998
,Marsden B,Thermal,Coal,,,,N,236,,236,0,,,2012,Decomissioned,,,,,Mighty River Power,,Mighty River Power,Grid,,,,,NIS - North Isthmus,NI ,MDN1101,MDN,,,"Mothballed. As at April 2012 the plant had been dismantled, pending shipment to an overseas buyer",EA exisiting generating plants (2015),,
,Marsden B,Thermal,Coal,,,,N,236,,236,0,,,1979,Installed,,,,,Mighty River Power,,Mighty River Power,Grid,,,,,NIS - North Isthmus,NI ,MDN1101,MDN,,,"Mothballed. As at April 2012 the plant had been dismantled, pending shipment to an overseas buyer",EA exisiting generating plants (2015),,
,Marsden Diesel,Thermal,Diesel,,,,N,9,,1.8,0,5,5 x 1.8 MW,2011,,,,,,Trustpower,,Trustpower,Embedded,0,,,,NIS - North Isthmus,NI ,BRB0331,BRB,,,Caterpillar diesel units used as peaking plant to mitigate price peaks. The plant is operated remotely from Tauranga. Location estimated (Marsden Point Refinery),EA exisiting generating plants (2015),-35.83603134,174.4889852
matahina,Matahina,Hydroelectric,Water,,hydrokinetic turbine,,N,80,,40,,2,2 x 40 MW,1967,Operational,,,,,Trustpower,,Trustpower,Grid,280,7,Rangataiki,Bay of Plenty,BOP - Bay of Plenty,NI,MAT1101,MAT,2048,consent expiry,"5 kilometres south of Whakatane, the Matahina earth dam is New Zealand's second largest. It is 86 metres high, built on 24 metre deep foundations, 365 metres wide at its base, and 396 metres long. The 3.8 million cubic metres (3.8 billion litres) of water behind the dam drive two 50,000 hp turbines that in turn drive two 36 MW generators producing an average annual output of approximately 300 GWh. The station was commissioned in 1967, but was damaged in the 1987 Edgecumbe earthquake and extensive strengthening work was subsequently undertaken. In 1999 TrustPower purchased the Station from ECNZ for $115 million. An eel pass has been constructed over the dam to allow young eels to migrate upstream.",MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-38.1141,176.8162
,Mataura,Hydroelectric,Water,,hydrokinetic turbine,,N,0.9,,0.9,,1,1 x 0.9 MW,,,,,,,Niblick Trust,,Simply Energy,Embedded,4.5,,,,OTG - Otago/Southland,SI,GOR0331,GOR,,,GWh and MW data from Centralised Dataset 2006 calendar year. Location estimated. ,EA exisiting generating plants (2015),-46.1899304,168.8726789
,Matawai,Hydroelectric,Water,,hydrokinetic turbine,,N,2,,1,,2,2 x 1 MW,2009,Operational,,,,,Clearwater Hydro,,The Lines Company,Embedded,10,,,,HBY - Hawkes Bay,NI,GIS0501,GIS,,,A.K.A. Waikohu hydro scheme. Location estimated,EA exisiting generating plants (2015),-38.40288671,177.6104393
,Maungatapere,Thermal,Unknown,,,,N,0.5,,0.5,0,1,1 x 0.5 MW (inferred as largest unit = cap.),,,,,,,Trustpower,,Trustpower,Embedded,0.3,,,,NIS - North Isthmus,NI ,MPE0331,MPE,,,GWh and MW data from Centralised Dataset 2006 calendar year. Location estimated (Maungatapere town),EA exisiting generating plants (2015),-35.75328641,174.1996969
,McKays Creek,Hydroelectric,Water,,hydrokinetic turbine,,N,1.1,,1.1,,1,1 x 1.1 MW,1931,Operational,,,Kaniere River,2,Trustpower,,Trustpower,Embedded,8,0,Kaniere river,,WEC - West Coast,SI,HKK0661,HKK,,,,EA exisiting generating plants (2015),-42.76613763,171.0696012
mckee,McKee,Thermal,Natural gas,,open cycle gas turbine (OCGT),,Y,100,,50,0,4,"2 x 50 MW, 2 x 2 MW (= to 104MW)",2013,Operational,,,,,Todd Generation Taranaki,,Todd Energy,Grid,300,,,,TRN - Taranaki,NI ,MKE1101,MKE,2050,,Two 50MW gas turbines and 2 x 1 MW cogen units. GWh estimated based on CDS data.,MBIE thermal stack update (2020),-39.00109,174.23766
,Middleton,Thermal,Unknown,,,,N,0.2,,0.2,0,1,1 x 0.2 MW (inferred as largest unit = cap.),,,,,,,CWF Hamilton & Co,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,ISL0331,ISL,,,"GWh and MW data from Centralised Dataset 2006 calendar year. Location estimated (Middleton, Chch)",EA exisiting generating plants (2015),-43.54385866,172.583088
,Milburn,Thermal,Unknown,,,,N,0,,0,0,,,,,,,,,Department of Corrections,,Meridian Energy,Embedded,0,,,,OTG - Otago/Southland,SI ,BAL0331,BAL,,,South Otago community corrections,EA exisiting generating plants (2015),-46.08496311,170.0088271
,Mill Creek,Wind,Wind,,,,N,71.3,,2.3,,26,26 x 2.3 MW,2014,Operational,,,,,Meridian Energy,,Meridian Energy,Embedded,235,, ,,WEL - Wellington,NI ,WIL0331,WIL,,,"First electricity generated May 2014. Covers approx 18 km2, using Seimens turbines",EA exisiting generating plants (2015),-41.17074402,174.7756335
mokai,Mokai,Geothermal,Geothermal single flash,,combined cycle,,N,112,,35,,9,"1 x 32 MW, 6 x 6 MW, 1 x 34 MW, 1 x 8 MW (= 110 MW)",1999,Operational,Air,,,,Tuaropaki Power Company,,Mercury,Grid,927,,Mokai,,WTO - Waikato,NI,WKM2201,WKM,2049,yr built+50,"The Mokai power station was commissioned in February 2000, and is owned by the Tuaropaki Power Company. Mercury is contracted to operate and maintain the station. The Mokai station is basically a larger version of the plant at Rotokawa, with a nominal generation capacity of 94MW. The station was upgraded by an additional 17MW in August 2007 Like Rotokawa, Mokai’s generating plant consists of a main steam back pressure turbine and an ORMAT binary plant
. Mokai is modelled as a grid connected network for the purposes of market reconciliation","NZ Geothermal Association (2019), https://www.power-technology.com/projects/mokai/ (2003, for generation cap. and units)",-38.52991753,175.9243101
mokai,Mokai (1) ,Geothermal,Geothermal single flash,,combined cycle,,N,55,,,,,,1999,Installed,Air,,,,Tuaropaki Power Company,,Mercury,Grid,,,Mokai,,WTO - Waikato,NI,WKM2201,WKM,2049,yr built+50,"The Mokai power station was commissioned in February 2000, and is owned by the Tuaropaki Power Company. Mercury is contracted to operate and maintain the station. The Mokai station is basically a larger version of the plant at Rotokawa, with a nominal generation capacity of 94MW. The station was upgraded by an additional 17MW in August 2007 Like Rotokawa, Mokai’s generating plant consists of a main steam back pressure turbine and an ORMAT binary plant
. Mokai is modelled as a grid connected network for the purposes of market reconciliation","NZ Geothermal Association (2019), https://www.power-technology.com/projects/mokai/ (2003, for generation cap. and units)",-38.52991753,175.9243101
mokai,Mokai (2),Geothermal,Geothermal single flash,,combined cycle,,N,94,39,,,,,2005,Installed,Air,,,,Tuaropaki Power Company,,Mercury,Grid,,,Mokai,,WTO - Waikato,NI,WKM2201,WKM,,,,"NZ Geothermal Association (2019), https://www.power-technology.com/projects/mokai/ (2003, for generation cap. and units)",-38.52991753,175.9243101
mokai,Mokai (3),Geothermal,Geothermal single flash,,combined cycle,,N,112,18,,,9,"1 x 32 MW, 6 x 6 MW, 1 x 34 MW, 1 x 8 MW (= 110 MW)",2007,Installed,Air,,,,Tuaropaki Power Company,,Mercury,Grid,927,,Mokai,,WTO - Waikato,NI,WKM2201,WKM,,,,"NZ Geothermal Association (2019), https://www.power-technology.com/projects/mokai/ (2003, for generation cap. and units)",-38.52991753,175.9243101
,Mokauiti,Hydroelectric,Water,,hydrokinetic turbine,,N,1.9,,1.3,,2,1 x 1.3 MW…,1963,Operational,,,,,King Country Energy,,King Country Energy,Embedded,7,,,,CEN - Central,NI,ONG0331,ONG,,,"The original power station was commissioned on the Mokau River beside the Wairere Falls in 1925 (turbine 1) with just one machine giving an output of 490 kilowatts. Later three more machines were added in 1938 (turbine 2), 1952 (turbine 3) and 1981 (turbine 4) with associated penstocks, buildings and tailraces. The pipeline runs from a pond interrupting the Mokauiti Stream, a tributary of the Mokau river.",EA exisiting generating plants (2015),-38.55258128,174.9621845
,"Mokoia Road, Hawera",Thermal,Unknown,,,,N,0.2,,0.2,0,1,1 x 0.2 MW (inferred as largest unit = cap.),,,,,,,Swift Energy,,Genesis Energy,Embedded,0.4,,,,TRN - Taranaki,NI ,HWA0331,HWA,,,GWh and MW data from Centralised Dataset 2006 calendar year. Location estimated (Westside Rimu Production),EA exisiting generating plants (2015),-39.64753856,174.3510793
,Monowai,Hydroelectric,Water,,hydrokinetic turbine,,N,6.6,,2.2,,3,,1925,Operational,,,,,Pioneer Generation,,Trustpower,Embedded,40,,,,OTG - Otago/Southland,SI,NMA0331,NMA,,,,EA exisiting generating plants (2015),-45.77577,167.61666
,Montalto,Hydroelectric,Water,,hydrokinetic turbine,,N,1.8,,1.8,,1,1 x 1.8 MW,1958,Operational,,,Rangitata Diversion Race,2,Trustpower,,Trustpower,Partially embedded,12,0,Rakaia,ECan,CAN - Canterbury,SI,ASB0331,ASB,2040,consent expiry,"The Montalto Power Scheme had it's beginnings in 1958, when design work started on a project to generate electricity utilising the stepped flow of the Rangitata Diversion Race - an irrigation project completed in the early 1940's. Commissioning of the Montalto Power Station, which produces 1,100kW during irrigation season and 1,800 kW at other times was completed in 1982. Today the station has an annual output of 12GWh.",MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-43.79827619,171.3392332
,Motukawa,Hydroelectric,Water,,hydrokinetic turbine,,N,4.8,,1.5,,3,,1927,Operational,,,,,Trustpower,,Trustpower,Embedded,26,,,,TRN - Taranaki,NI,HUI0331,HUI,,,"Commissioned in January of 1927, the Motukawa scheme uses 99 of an available 122 metre difference in elevation between the Manganui River near Tariki and the Waitara River near Motukawa to drive three generating sets, the last of which was added in 1938. To provide temporary power during construction a 200kVA hydro plant, the remains of which still exist today, was constructed at the headworks near Tariki. With a total capacity of 4,800 kW, the Motukawa scheme has an average annual output of 25.8 GWh.",EA exisiting generating plants (2015),-39.18366491,174.3816126
,Mount Stuart,Wind,Wind,,,,,7.65,,0.85,,9,9 x 0.85 MW,2011,Operational,,,,,Pioneer Generation,,Pioneer Generation,Embedded,25.6,,,,OTG - Otago/Southland,SI ,BAL0331,BAL,,,"The wind farm has 9 wind turbines, with a combined generating capacity of 7.65MW. The 850kW turbines are supplied by Gamesa, a wind turbine manufacture based in Spain. The turbines have a 45 metre tower, and their blades have a 52 metre diameter. Mt Stuart is the first wind farm in New Zealand and Australia to use Gamesa turbines.
Pioneer began construction of the wind farm in April 2011. The wind farm was commissioned in November 2011. The wind farm produces about 25,600MWh per year and feeds its electricity into the OtagoNet network.","EA exisiting generating plants (2015), https://pioneerenergy.co.nz/projects-and-partnerships/sustainable-cities/mt-stuart-wind-farm/",-46.10566,170.00404
,Mud House,Thermal,Diesel,,,,BU,0.2,,0.2,0,1,1 x 0.2 MW (inferred as largest unit = cap.),,,,,,,Kiwi Wine Company,,Trustpower,Embedded,0,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,,EA exisiting generating plants (2015),-44.90383959,169.3394421
new_plymouth,New Plymouth,Thermal,Natural gas,Fuel oil,,,N,360,,105,11000,,,2011,Decomissioned,,,,,Contact Energy,,Contact Energy,Grid,,,,,TRN - Taranaki,NI ,NPL1101,NPL,,,"'The plant is now mothballed following the discovery of asbestos in the plant earlier in 2007. The first of the station's five generating units was commissioned in 1974. It injected into the grid on two buses (110kv and 200kv, NPL1101 and NPL2201, 2 units and 1 unit respectively). The station's 198 metre chimney is one of the tallest in New Zealand and contains one million bricks, 16,400 tonnes of concrete and 1,200 tonnes of reinforcing steel. It is designed to sway between five and eight cm during 40 to 60 knot winds.",EA exisiting generating plants (2015),,
new_plymouth,New Plymouth,Thermal,Natural gas,Fuel oil,,,N,360,,105,11000,,,1974,Installed,,,,,Contact Energy,,Contact Energy,Grid,,,,,TRN - Taranaki,NI ,NPL1101,NPL,,,"'The plant is now mothballed following the discovery of asbestos in the plant earlier in 2007. The first of the station's five generating units was commissioned in 1974. It injected into the grid on two buses (110kv and 200kv, NPL1101 and NPL2201, 2 units and 1 unit respectively). The station's 198 metre chimney is one of the tallest in New Zealand and contains one million bricks, 16,400 tonnes of concrete and 1,200 tonnes of reinforcing steel. It is designed to sway between five and eight cm during 40 to 60 knot winds.",EA exisiting generating plants (2015),,
nap,Nga Awa Purua,Geothermal,Geothermal triple flash,,condensed steam turbine (CST),,N,140,,140,,1,1 x 140 MW (inferred from largest unit),2010,Operational,Mechanical evaporative water,,,,Mercury,Tauhara North No. 2 Trust,Mercury,Grid,1165,,Rotokawa,,WTO - Waikato,NI,NAP2201,NAP,2060,yr built+50,The generation plant was developed by Mercury in partnership with the Tauhara North No 2 Trust. It is close to the existing Rotokawa geothermal power station and connects into existing 220kv transmission lines directly over the field.,NZ Geothermal Association (2019),-38.61405625,176.1839003
,Ngahere,Hydroelectric,Water,,hydrokinetic turbine,,N,0.1,,0.1,,1,1 x 0.1 MW,,,,,,,Birchfield Minerals,,Mercury,Embedded,0.2,,,,WEC - West Coast,SI,DOB0331,DOB,,,Location estimated (Ngahere town),EA exisiting generating plants (2015),-42.39304389,171.452644
ngatamariki,Ngatamariki,Geothermal,Geothermal binary,,binary,,N,82,,21,,4,4 x 20.5 MW,2013,Operational,Air,,,,Mercury,,Mercury,Grid,670,,Ngatamariki,,WTO - Waikato,NI,NAP2202,NAP,2063,yr built+50,"While Mercury wholly ownes the power station, the Tauhara North No. 2 Trust receives a revenue stream from the operation of the plant, and has the option to take a market-value equity stake in the power station after its first 10 years of operation.","NZ Geothermal Association (2019), https://www.nzgeothermal.org.nz/geothermal-in-nz/nz-geothermal-fields/ngatamariki/ (for gen. units and cap., accessed 26/06/23)",-38.54624136,176.1954355
ngawha,Ngawha,Geothermal,Geothermal binary,,binary,,N,10,,,,,,1998,Installed,Air,,,,Top Energy,,Top Energy,Embedded,,,Ngawha,,NIS - North Isthmus,NI,KOE0331,KOE,2048,yr built+50,"Located approximately seven kilometers from Kaikohe, the Ngawha Geothermal Power Station was set up to use geothermal energy from the Ngawha Springs area to generate electricity. Using four of twenty existing wells drilled by the Ministry of Works in the early 1980's, the plant uses a binary-generating unit manufactured by Ormat Industries of Israel. Operation commenced in June 1998. OEC1 and OEC2 make up Ngawha 1 and are connected to Ngawha 2 (OEC3)","NZ Geothermal Association (2019), https://www.energylink.co.nz/sites/default/files/sites/default/files/202210%20RFP%20-%20Ngawha%20Generation%20Ltd.pdf for gen. units and cap (2022)",-35.41787256,173.8524252
ngawha,Ngawha,Geothermal,Geothermal binary,,binary,,N,25,,12,,2,"1 x 8 MW (OEC1 and OEC2), 1 x 15.3 MW (OEC3) ",1998,Operational,Air,,,,Top Energy,,Top Energy,Embedded,200 (65GWh and 130GWh),,Ngawha,,NIS - North Isthmus,NI,KOE0331,KOE,2048,yr built+50,"Located approximately seven kilometers from Kaikohe, the Ngawha Geothermal Power Station was set up to use geothermal energy from the Ngawha Springs area to generate electricity. Using four of twenty existing wells drilled by the Ministry of Works in the early 1980's, the plant uses a binary-generating unit manufactured by Ormat Industries of Israel. Operation commenced in June 1998. OEC1 and OEC2 make up Ngawha 1 and are connected to Ngawha 2 (OEC3)","NZ Geothermal Association (2019), https://www.energylink.co.nz/sites/default/files/sites/default/files/202210%20RFP%20-%20Ngawha%20Generation%20Ltd.pdf for gen. units and cap (2022)",-35.41787256,173.8524252
ngawha,Ngawha (2),Geothermal,Geothermal binary,,binary,,N,25,15,12,,2,"1 x 8 MW (OEC1 and OEC2), 1 x 15.3 MW (OEC3) ",2008,Installed,Air,,,,Top Energy,,Top Energy,Embedded,200 (65GWh and 130GWh),,Ngawha,,NIS - North Isthmus,NI,KOE0331,KOE,,,,"NZ Geothermal Association (2019), https://www.energylink.co.nz/sites/default/files/sites/default/files/202210%20RFP%20-%20Ngawha%20Generation%20Ltd.pdf for gen. units and cap (2022)",-35.41787256,173.8524252
ohaaki,Ohaaki,Geothermal,Geothermal double flash,,back pressure turbine (BPT),condensed steam turbine (CST),N,66,-38,,,,,2001,Derating,Natural draft cooling tower,,,,Contact Energy,,Contact,Grid,,,Ohaaki,,WTO - Waikato,NI,OKI2201,OKI,,,"Production wells at Ohaaki are, on average, 1.2 km deep and reach water at temperatures up to 280°C. The most distinctive feature at Ohaaki is the 105 metre high cooling tower. Using natural convection, the tower cools the water used to condense the steam as it exits the power turbines. Although Ohaaki still has 116 MWe of plant installed on site, high pressure turbines are now decommissioned and only one of the two remaining turbines is operating. The station generates between 30 and 40 MWe due to field limitations. Some additional Ohaaki drilling has been undertaken to fully load the remaining turbine.",NZ Geothermal Association (2019),-38.52748182,176.2939624
